timestamp,Tweet Volume,Total Sentiment Value,Weighted Sentiment,BTC Value
4/25/2020 12:15,5362,-0.049868935,-267.3972295,7568.71
4/25/2020 15:30,6005,-0.088769922,-533.0633816,7566.936667
4/25/2020 18:45,5018,-0.145474552,-729.9913019,7528.406667
4/25/2020 22:00,4221,-0.139350924,-588.2002502,7547.613333
4/26/2020 1:15,3229,-0.197059969,-636.3066399,7555.783333
4/26/2020 4:30,3415,-0.160764046,-549.0092171,7542.69
4/26/2020 7:45,4029,-0.16592737,-668.5213737,7609.893333
4/26/2020 11:00,4606,-0.087750882,-404.1805625,7660.66
4/26/2020 14:15,5550,-0.113152937,-627.9988004,7592.593333
4/26/2020 17:30,5230,-0.133117337,-696.2036725,7616.92
4/26/2020 20:45,4774,-0.136149193,-649.9762474,7656.4
4/27/2020 0:00,4374,-0.22239763,-972.7672336,7725.753333
4/27/2020 3:15,3767,-0.140954623,-530.9760648,7699.44
4/27/2020 6:30,4576,-0.14409536,-659.3803674,7699.946667
4/27/2020 9:45,4922,-0.149514806,-735.9118751,7693.863333
4/27/2020 13:00,6159,-0.140464527,-865.1210218,7669.733333
4/27/2020 16:15,5898,-0.128566436,-758.2848395,7687.893333
4/27/2020 19:30,5690,-0.129862615,-738.9182794,7723.52
4/27/2020 22:45,4619,-0.141368046,-652.9790045,7721.366667
4/28/2020 2:00,3851,-0.158813272,-611.5899105,7684.813333
4/28/2020 5:15,4191,-0.169434711,-710.1008738,7697.073333
4/28/2020 8:30,4676,-0.121113261,-566.3256084,7725.466667
4/28/2020 11:45,5907,-0.134883711,-796.7580809,7714.893333
4/28/2020 15:00,6819,-0.114660342,-781.8688721,7716.84
4/28/2020 18:15,5751,-0.143301159,-824.1249654,7721.473333
4/28/2020 21:30,4764,-0.170379631,-811.6885621,7743.186667
4/29/2020 0:45,4213,-0.203700972,-858.192195,7790.73
4/29/2020 4:00,4375,-0.143056707,-625.8730931,7911.216667
4/29/2020 7:15,5955,-0.064918241,-386.5881252,8050.74
4/29/2020 10:30,8177,-0.082475866,-674.4051563,8239.136667
4/29/2020 13:45,9768,-0.074112116,-723.9271491,8508.296667
4/29/2020 17:00,10029,-0.110158394,-1104.778533,8752.65
4/29/2020 20:15,7554,-0.131138304,-990.6187484,8781.31
4/29/2020 23:30,5235,-0.147657269,-772.9858032,8819.33
4/30/2020 2:45,7478,-0.101425025,-758.456337,9207.886667
4/30/2020 6:00,7627,-0.094156192,-718.1292764,9110.103333
4/30/2020 9:15,7036,-0.145738168,-1025.41375,8812.673333
4/30/2020 12:30,7293,-0.129123649,-941.6987722,8799.48
4/30/2020 15:45,7653,-0.132484077,-1013.900641,8626.143333
4/30/2020 19:00,6462,-0.146258427,-945.1219553,8757.073333
4/30/2020 22:15,4849,-0.179643193,-871.0898429,8692.753333
5/1/2020 1:30,3950,-0.187365615,-740.0941793,8720.436667
5/1/2020 4:45,4074,-0.178904485,-728.8568719,8766.33
5/1/2020 8:00,4857,-0.113143507,-549.5380135,8835.3
5/1/2020 11:15,6780,-0.070125966,-475.4540495,8851.293333
5/1/2020 14:30,7822,-0.099042595,-774.7111781,8748.633333
5/1/2020 17:45,6899,-0.145259916,-1002.14816,8725.966667
5/1/2020 21:00,5645,-0.150242748,-848.1203125,8807.913333
5/2/2020 0:15,4232,-0.14413477,-609.9783466,8815.786667
5/2/2020 3:30,3622,-0.192537714,-697.3716001,8825.72
